	sourcepage	rebuttalpage
83	http://conservativehome.blogs.com/thecolumnists/2012/02/from-nadinedorriesmp-parliament-must-prevent-anti-religious-groups-from-stopping-prayers-before-coun.html	http://blog.dave.org.uk/2012/02/atheism-humanism-and-secularism.html
84	http://www.guardian.co.uk/world/2012/feb/19/religion-secularism-atheism-hutton-dawkins	http://metamagician3000.blogspot.com/2012/02/hutton-and-dawkins-on-secularism-hutton.html
85	http://www.huffingtonpost.com/dana-ullman/homeopathic-medicine-_b_1258607.html	http://www.randi.org/site/index.php/swift-blog/1628-the-swiss-endorse-homeopathy.html
86	http://www.huffingtonpost.com/dana-ullman/homeopathic-medicine-_b_1258607.html	http://www.ncbi.nlm.nih.gov/pubmed/20402610
87	http://www.abc.net.au/religion/articles/2012/02/08/3425814.htm	http://www.abc.net.au/religion/articles/2012/02/13/3429329.htm
88	http://cpd.org.au/2012/01/eva-cox-call-me-whatever-the-hell-you-want/	http://www.abc.net.au/religion/articles/2012/02/21/3435862.htm
89	http://www.abc.net.au/religion/articles/2012/01/25/3415534.htm	http://www.abc.net.au/religion/articles/2012/02/21/3435862.htm
90	http://www.stanfordalumni.org/news/magazine/2010/mayjun/features/boroditsky.html	http://plato.stanford.edu/entries/relativism/index.html#5
94	http://hpathy.com/homeopathy-papers/homoeopathic-immunisation-against-leptospirosis-in-cuba/	http://scienceblogs.com/insolence/2010/11/30/homeopathy-in-cuba/
95	http://hpathy.com/homeopathy-papers/homoeopathic-immunisation-against-leptospirosis-in-cuba/	http://apgaylard.wordpress.com/2010/08/08/much-ado-about-nothing/
96	http://www.irishhomeopaths.com/homeopathy-cuba	http://scienceblogs.com/insolence/2010/11/30/homeopathy-in-cuba/
97	http://www.irishhomeopaths.com/homeopathy-cuba	http://apgaylard.wordpress.com/2010/08/08/much-ado-about-nothing/
99	http://mightymag.org/category/darwin-was-wrong/	http://freethoughtblogs.com/pharyngula/2012/02/23/an-anti-science-cartoonist/
100	http://online.wsj.com/news/articles/SB10001424052970204301404577171531838421366	http://online.wsj.com/article/SB10001424052970204740904577193270727472662.html
101	http://online.wsj.com/article/SB10001424052970204740904577193270727472662.html	http://online.wsj.com/article/SB10001424052970203646004577213244084429540.html
102	http://online.wsj.com/article/SB10001424052970203711104577199330965279516.html	http://online.wsj.com/article/SB10001424052970203646004577213244084429540.html
103	http://www.searchenginejournal.com/pinterest-skimlinks-affiliate-links/39906/	http://www.sugarrae.com/social-media-sphere/oh-shut-up-you-know-you-never-read-the-pinterest-tos/
104	http://news.cnet.com/8301-13772_3-20063402-52.html	http://glinden.blogspot.com/2011/05/eli-pariser-is-wrong.html
105	http://www.marketplace.org/topics/tech/how-internet-being-filtered-specifically-you?refid=0	http://glinden.blogspot.com/2011/05/eli-pariser-is-wrong.html
106	http://www.ted.com/talks/eli_pariser_beware_online_filter_bubbles.html	http://glinden.blogspot.com/2011/05/eli-pariser-is-wrong.html
108	http://en.wikipedia.org/wiki/Aspartame#Safety_controversy	http://www.cbsnews.com/8301-504763_162-20075358-10391704/new-study-is-wake-up-call-for-diet-soda-drinkers/?tag=re1.channel
